timestamp, cpu[node1]:1, cpu[node2]:1, cpu[node3]:1, cpu[node4]:1, cpu[node5]:1
1442555275000,8.7380231,3.4068913,3.5621096,2.8296526,3.8720168
1442555336000,5.5654848,1.7036675,2.0013945,1.7999406,1.6588607
1442555397000,7.0453733,2.5252425,2.2465352,2.7270371,2.6808957
1442555457000,7.3391743,3.3210812,2.5287536,3.1230276,2.6102019
1442555517000,6.488525,2.3300133,2.4738245,2.687311,2.1199127
1442555577000,8.6754222,3.1377512,3.3364378,3.1246996,3.1033786
1442555637000,8.8233972,3.1826687,3.0291741,3.471829,3.4357024
1442555697000,8.3390728,3.1422758,2.214883,3.1025284,6.8750121
1442555757000,10.2822911,3.4852079,3.875427,3.4761696,3.3899614
1442555817000,9.2595392,3.3930914,3.1178732,3.6516831,3.529915
1442555877000,8.0101223,1.4640421,6.7150868,3.2892588,3.6394281
1442555937000,8.2809416,3.1122787,2.8422144,3.8319949,3.6250044
1442555998000,10.141166,3.1302174,4.0664125,3.9382872,3.6005464
1442556059000,9.5354086,3.3778292,4.1334735,2.6586687,5.1504049
1442556120000,6.0229561,2.2098334,2.1916481,1.9543879,5.4201203
1442556180000,7.5485225,2.3772282,3.3888883,3.0387455,2.3406992
1442556241000,8.0233689,2.7369976,2.064922,3.1301115,2.7153856
1442556301000,9.6535341,2.6848711,7.7133596,3.579517,3.8476313
1442556361000,9.4405336,2.8098507,2.0919822,4.3698559,2.1940342
1442556421000,8.4966685,1.8795001,3.0394595,2.9347563,3.1229739
1442556481000,7.8298521,3.9965964,2.2821385,2.7833712,3.6449531
1442556542000,8.7223353,3.3747956,2.6437217,2.4830353,3.0614454
1442556603000,9.9504509,3.1304153,3.2073566,4.505259,3.1784204
1442556664000,9.1889731,3.6091197,3.5373651,3.3832646,3.4226311
1442556724000,8.7934042,3.1335017,2.7009498,2.7561294,2.7240464
1442556784000,7.5292799,2.6388128,2.2264226,2.6532132,3.0745518
1442556845000,11.7063194,3.6971776,4.1172215,4.8160796,4.3317589
1442556905000,9.3197879,2.3179904,2.6519674,4.2129692,3.2951119
1442556965000,9.5376686,3.2846919,3.2440899,3.1116168,3.5998646
1442557025000,9.0067798,3.5523555,2.7686059,3.1237719,2.7028515
1442557086000,10.4606623,3.3431587,4.110802,3.8209237,3.6160102
1442557146000,10.9185843,4.1863373,3.7939058,4.2353929,4.1813347
1442557206000,8.6561066,3.1808598,2.6208391,3.2868566,3.3936799
1442557266000,8.6976335,3.6986697,2.834301,3.3789538,2.7499238
1442557326000,10.6852787,4.1921907,3.8367073,3.6810988,4.4749623
1442557386000,9.7331907,3.0594428,4.1852612,3.5891436,2.8944192
1442557447000,11.0172066,4.2264198,3.6017497,3.8498321,4.3261369
1442557507000,7.959043,3.2107054,2.5930657,3.1310879,3.6500885
1442557568000,11.2247251,4.4648058,3.3688037,4.029873,4.0633736
1442557629000,8.8144053,2.7268314,3.2057382,3.3154748,3.3874281
1442557689000,10.0143039,2.5647325,4.0211115,4.3619846,3.5174021
1442557749000,12.2206607,3.8785919,3.6527073,3.4521341,3.5990166
1442557809000,8.9625561,2.9013077,2.8101646,3.9896522,3.9499396
1442557869000,11.8887823,5.9490685,2.9854454,4.3292212,4.4439707
1442557929000,12.2484731,3.7552871,4.0731601,5.3929557,5.093808
1442557989000,11.4889491,3.7869046,3.4181499,4.7595111,4.0234119
1442558050000,7.5842843,3.3886755,2.6994855,2.1465073,2.8459301
1442558110000,7.4951042,2.98124,3.3662629,2.8061641,2.9673059
1442558170000,9.688607,3.8170684,2.9988072,3.0770946,3.9864967
1442558230000,10.0819625,3.6673947,3.0157671,3.6036904,3.2678547
1442558290000,11.1432617,4.5467518,4.501914,4.0074336,3.9634255
1442558350000,8.3612407,2.6555913,3.2605735,2.9571592,3.0420018
1442558411000,9.9075522,3.419689,3.2523461,3.921091,4.0120086
1442558471000,9.9216814,3.5358934,3.6221801,3.6388065,3.8535394
1442558531000,10.6970384,4.4396178,4.4185953,3.5818266,3.3229087
1442558591000,11.2533252,3.828673,3.6100948,3.863921,4.3292425
1442558651000,11.0243907,3.1331271,4.1820417,3.8103334,3.6826434
1442558711000,7.5069866,2.1601256,2.2784527,2.761551,3.3317368
1442558771000,6.7706426,2.187169,2.9618217,2.6472944,2.0764245
1442558832000,8.9035468,17.2844189,2.575336,3.0780112,3.1542478
1442558892000,10.2462543,3.7905795,2.906902,4.746457,3.0477562
1442558952000,10.5173941,4.0774008,4.0277184,3.4934696,4.2838532
1442559012000,10.2224034,3.3804774,3.7642698,4.5007333,3.9037224
1442559072000,10.7147936,3.9348746,3.3534348,4.2807192,4.2293745
1442559132000,8.4934968,3.2605455,3.1069333,3.6243468,3.3904565
